sku,name,price
602190,Crema Facial Hidra Total 5 Anti-manchas,$829
362715,Concentrado Clinique Id : Active Cartridge Concentrate For Fatigue,$1.200
430560,Crema Payot Blue Techni Liss Cont Yeux 15 Ml,$2.150
82825,Loción Clinique Anti-blemish Clarifying 200 Ml,$1.450
31730,Gel Limpiador Neutrogena Deep Clean 150 G,$486
536834,Esponja Hortensia Konjac Limpieza Corporal,$416
801260,Agua Micelar Hydroboost Neutrogena 200 Ml,$434
91269,Exfoliante Químico Cosrx Para Puntos Negros,$1.600
79938,Gel Nivea Exfoliante Facial De Arroz 75 Ml,$394
527632,Gel Sri Sri Limpiador Facial Pepino Y Limon 100 G,$288
362515,Loción Clinique Id Dramatically Different Moisturizing Lotion+,$2.150
31275,Leche Limpiadora Confort Galatee Reconfortante Para Piel Seca 200 Ml,$2.225
83870,Desmaquillante Clinique Take The Day Off 125 Ml,$1.650
